name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,
USC,3,0,0,4,4,93, ['Rice (2 - 1)', 'Stanford (1 - 1)', 'Fresno State (1 - 2)'],
Tennessee,3,0,0,4,5,113, ['Ball State (1 - 2)', 'Pittsburgh (2 - 1)', 'Akron (1 - 2)'],
Alabama,3,0,0,4,5,112, ['Utah State (1 - 2)', 'Texas (2 - 1)', 'Louisiana Monroe (1 - 2)'],
Ohio State,3,0,0,4,5,100, ['Notre Dame (1 - 2)', 'Arkansas State (1 - 2)', 'Toledo (2 - 1)'],
Penn State,3,0,0,4,5,69, ['Purdue (1 - 2)', 'Ohio (1 - 2)', 'Auburn (2 - 1)'],
Maryland,3,0,0,3,7,63, ['Buffalo (0 - 3)', 'Charlotte (1 - 3)', 'SMU (2 - 1)'],
Syracuse,3,0,0,3,7,61, ['Louisville (1 - 2)', 'Connecticut (1 - 3)', 'Purdue (1 - 2)'],
Oklahoma,3,0,0,3,8,97, ['UTEP (1 - 3)', 'Kent State (1 - 2)', 'Nebraska (1 - 3)'],
Michigan,3,0,0,2,9,149, ['Colorado State (0 - 3)',Hawai'i (1 - 3), 'Connecticut (1 - 3)'],
Wake Forest,3,0,1,5,2,55, ['Vanderbilt (3 - 1)', 'Liberty (2 - 1)'],,
NC State,3,0,1,4,2,66, ['East Carolina (2 - 1)', 'Texas Tech (2 - 1)'],,
Indiana,3,0,1,4,2,19, ['Illinois (2 - 1)', 'Western Kentucky (2 - 1)'],,
Georgia,3,0,1,3,3,120, ['Oregon (2 - 1)', 'South Carolina (1 - 2)'],,
Tulane,3,0,1,3,3,91, ['UMass (1 - 2)', 'Kansas State (2 - 1)'],,
Washington,3,0,1,3,3,82, ['Kent State (1 - 2)', 'Michigan State (2 - 1)'],,
Iowa State,3,0,1,3,3,68, ['Iowa (2 - 1)', 'Ohio (1 - 2)'],,
UCLA,3,0,1,3,3,67, ['Bowling Green (1 - 2)', 'South Alabama (2 - 1)'],,
Kentucky,3,0,1,3,3,65, ['Miami (OH) (1 - 2)', 'Florida (2 - 1)'],,
Oregon State,3,0,1,3,3,60, ['Boise State (2 - 1)', 'Fresno State (1 - 2)'],,
Florida State,3,0,1,3,3,45, ['LSU (2 - 1)', 'Louisville (1 - 2)'],,
Arkansas,3,0,1,3,3,32, ['Cincinnati (2 - 1)', 'South Carolina (1 - 2)'],,
Ole Miss,3,0,1,2,4,116, ['Troy (1 - 2)', 'Georgia Tech (1 - 2)'],,
Oklahoma State,3,0,1,2,4,87, ['Central Michigan (1 - 2)', 'Arizona State (1 - 2)'],,
Clemson,3,0,1,2,4,82, ['Georgia Tech (1 - 2)', 'Louisiana Tech (1 - 2)'],,
Kansas,3,0,1,2,4,77, ['West Virginia (1 - 2)', 'Houston (1 - 2)'],,
Duke,3,0,1,2,4,67, ['Temple (1 - 2)', 'Northwestern (1 - 2)'],,
Rutgers,3,0,1,2,4,62, ['Boston College (1 - 2)', 'Temple (1 - 2)'],,
North Carolina,3,0,1,2,4,41, ['Appalachian State (2 - 1)', 'Georgia State (0 - 3)'],,
Washington State,3,0,1,2,4,41, ['Wisconsin (2 - 1)', 'Colorado State (0 - 3)'],,
Coastal Carolina,3,0,1,1,5,26, ['Army (1 - 2)', 'Buffalo (0 - 3)'],,
Minnesota,3,0,1,0,7,132, ['New Mexico State (0 - 4)', 'Colorado (0 - 3)'],,
Wyoming,3,1,1,6,3,-3, ['Illinois (2 - 1)', 'Tulsa (2 - 1)', 'Air Force (2 - 1)'],
Vanderbilt,3,1,1,5,5,54," [""Hawai'i (1 - 3)""", 'Wake Forest (3 - 0)', 'Northern Illinois (1 - 2)'],
James Madison,2,0,1,2,1,93, ['Middle Tennessee (2 - 1)'],,,
TCU,2,0,1,0,3,67, ['Colorado (0 - 3)'],,,
Illinois,2,1,0,8,2,50, ['Wyoming (3 - 1)', 'Indiana (3 - 0)', 'Virginia (2 - 1)'],
Mississippi State,2,1,0,6,3,33, ['Memphis (2 - 1)', 'Arizona (2 - 1)', 'LSU (2 - 1)'],
Liberty,2,1,0,6,3,8, ['Southern Mississippi (1 - 2)', 'UAB (2 - 1)', 'Wake Forest (3 - 0)'],
Appalachian State,2,1,0,6,3,5, ['North Carolina (3 - 0)', 'Texas A&M (2 - 1)', 'Troy (1 - 2)'],
Florida,2,1,0,6,3,-4, ['Utah (2 - 1)', 'Kentucky (3 - 0)', 'South Florida (1 - 2)'],
Michigan State,2,1,0,5,4,63, ['Western Michigan (1 - 2)', 'Akron (1 - 2)', 'Washington (3 - 0)'],
Texas,2,1,0,5,4,62, ['Louisiana Monroe (1 - 2)', 'Alabama (3 - 0)', 'UT San Antonio (1 - 2)'],
Pittsburgh,2,1,0,5,4,21, ['West Virginia (1 - 2)', 'Tennessee (3 - 0)', 'Western Michigan (1 - 2)'],
BYU,2,1,0,5,4,14, ['South Florida (1 - 2)', 'Baylor (2 - 1)', 'Oregon (2 - 1)'],
Memphis,2,1,0,3,5,10, ['Mississippi State (2 - 1)', 'Navy (0 - 2)', 'Arkansas State (1 - 2)'],
LSU,2,1,1,5,1,62, ['Florida State (3 - 0)', 'Mississippi State (2 - 1)'],,
Kansas State,2,1,1,5,1,55, ['Missouri (2 - 1)', 'Tulane (3 - 0)'],,
Oregon,2,1,1,5,1,31, ['Georgia (3 - 0)', 'BYU (2 - 1)'],,
Boise State,2,1,1,5,1,23, ['Oregon State (3 - 0)', 'New Mexico (2 - 1)'],,
Rice,2,1,1,5,1,2, ['USC (3 - 0)', 'Louisiana (2 - 1)'],,
SMU,2,1,1,5,2,60, ['North Texas (2 - 2)', 'Maryland (3 - 0)'],,
Iowa,2,1,1,5,2,28, ['Iowa State (3 - 0)', 'Nevada (2 - 2)'],,
Auburn,2,1,1,4,1,5, ['San José State (1 - 1)', 'Penn State (3 - 0)'],,
Cincinnati,2,1,1,4,2,67, ['Arkansas (3 - 0)', 'Miami (OH) (1 - 2)'],,
UAB,2,1,1,4,2,66, ['Liberty (2 - 1)', 'Georgia Southern (2 - 1)'],,
East Carolina,2,1,1,4,2,63, ['NC State (3 - 0)', 'Old Dominion (1 - 2)'],,
South Alabama,2,1,1,4,2,54, ['Central Michigan (1 - 2)', 'UCLA (3 - 0)'],,
Texas Tech,2,1,1,4,2,43, ['Houston (1 - 2)', 'NC State (3 - 0)'],,
Texas A&M,2,1,1,4,2,36, ['Appalachian State (2 - 1)', 'Miami (2 - 1)'],,
Louisiana,2,1,1,4,2,33, ['Eastern Michigan (2 - 1)', 'Rice (2 - 1)'],,
Toledo,2,1,1,4,2,26, ['UMass (1 - 2)', 'Ohio State (3 - 0)'],,
UNLV,2,1,1,4,3,56, ['California (2 - 1)', 'North Texas (2 - 2)'],,
Western Kentucky,2,1,1,4,3,40," [""Hawai'i (1 - 3)""", 'Indiana (3 - 0)'],,
Tulsa,2,1,1,4,3,37, ['Wyoming (3 - 1)', 'Northern Illinois (1 - 2)'],,
Utah,2,1,1,3,3,91, ['Florida (2 - 1)', 'San Diego State (1 - 2)'],,
Baylor,2,1,1,3,3,88, ['BYU (2 - 1)', 'Texas State (1 - 2)'],,
Miami,2,1,1,3,3,72, ['Southern Mississippi (1 - 2)', 'Texas A&M (2 - 1)'],,
California,2,1,1,3,3,20, ['UNLV (2 - 1)', 'Notre Dame (1 - 2)'],,
Missouri,2,1,1,3,3,17, ['Louisiana Tech (1 - 2)', 'Kansas State (2 - 1)'],,
Arizona,2,1,1,3,3,-1, ['San Diego State (1 - 2)', 'Mississippi State (2 - 1)'],,
Virginia,2,1,1,3,3,-2, ['Illinois (2 - 1)', 'Old Dominion (1 - 2)'],,
Eastern Michigan,2,1,1,3,3,-11, ['Louisiana (2 - 1)', 'Arizona State (1 - 2)'],,
Wisconsin,2,1,1,3,4,94, ['Washington State (3 - 0)', 'New Mexico State (0 - 4)'],,
