name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,
Ohio State,9,0,0,40,41,270, ['Notre Dame (6 - 3)', 'Arkansas State (2 - 7)', 'Toledo (6 - 3)', 'Wisconsin (5 - 4)', 'Rutgers (4 - 5)', 'Michigan State (4 - 5)', 'Iowa (5 - 4)', 'Penn State (7 - 2)', 'Northwestern (1 - 8)'],,,,,,,
Michigan,9,0,0,38,45,271, ['Colorado State (2 - 7)',Hawai'i (2 - 8), 'Connecticut (5 - 5)', 'Maryland (6 - 3)', 'Iowa (5 - 4)', 'Indiana (3 - 6)', 'Penn State (7 - 2)', 'Michigan State (4 - 5)', 'Rutgers (4 - 5)'],,,,,,,
Georgia,9,0,1,40,32,264, ['Oregon (8 - 1)', 'South Carolina (6 - 3)', 'Kent State (3 - 6)', 'Missouri (4 - 5)', 'Auburn (3 - 6)', 'Vanderbilt (3 - 6)', 'Florida (5 - 4)', 'Tennessee (8 - 1)'],,,,,,,,
TCU,9,0,1,36,36,146, ['Colorado (1 - 8)', 'SMU (5 - 4)', 'Oklahoma (5 - 4)', 'Kansas (6 - 3)', 'Oklahoma State (6 - 3)', 'Kansas State (6 - 3)', 'West Virginia (3 - 6)', 'Texas Tech (4 - 5)'],,,,,,,,
USC,8,1,0,40,41,142, ['Rice (5 - 4)', 'Stanford (3 - 6)', 'Fresno State (5 - 4)', 'Oregon State (6 - 3)', 'Arizona State (3 - 6)', 'Washington State (5 - 4)', 'Utah (7 - 2)', 'Arizona (3 - 6)', 'California (3 - 6)'],,,,,,,
Tennessee,8,1,1,45,27,213, ['Ball State (5 - 4)', 'Pittsburgh (5 - 4)', 'Akron (1 - 8)', 'Florida (5 - 4)', 'LSU (7 - 2)', 'Alabama (7 - 2)', 'Kentucky (6 - 3)', 'Georgia (9 - 0)'],,,,,,,,
UCLA,8,1,1,41,31,137, ['Bowling Green (5 - 4)', 'South Alabama (7 - 2)', 'Colorado (1 - 8)', 'Washington (7 - 2)', 'Utah (7 - 2)', 'Oregon (8 - 1)', 'Stanford (3 - 6)', 'Arizona State (3 - 6)'],,,,,,,,
Clemson,8,1,1,40,32,117, ['Georgia Tech (4 - 5)', 'Louisiana Tech (3 - 6)', 'Wake Forest (6 - 3)', 'NC State (7 - 2)', 'Boston College (2 - 7)', 'Florida State (6 - 3)', 'Syracuse (6 - 3)', 'Notre Dame (6 - 3)'],,,,,,,,
Oregon,8,1,1,37,36,151, ['Georgia (9 - 0)', 'BYU (5 - 5)', 'Washington State (5 - 4)', 'Stanford (3 - 6)', 'Arizona (3 - 6)', 'UCLA (8 - 1)', 'California (3 - 6)', 'Colorado (1 - 8)'],,,,,,,,
Ole Miss,8,1,1,36,36,143, ['Troy (7 - 2)', 'Georgia Tech (4 - 5)', 'Tulsa (3 - 6)', 'Kentucky (6 - 3)', 'Vanderbilt (3 - 6)', 'Auburn (3 - 6)', 'LSU (7 - 2)', 'Texas A&M (3 - 6)'],,,,,,,,
North Carolina,8,1,1,35,37,86, ['Appalachian State (5 - 4)', 'Georgia State (4 - 5)', 'Notre Dame (6 - 3)', 'Virginia Tech (2 - 7)', 'Miami (4 - 5)', 'Duke (6 - 3)', 'Pittsburgh (5 - 4)', 'Virginia (3 - 6)'],,,,,,,,
Coastal Carolina,8,1,1,33,38,44, ['Army (3 - 5)', 'Buffalo (5 - 4)', 'Georgia State (4 - 5)', 'Georgia Southern (5 - 4)', 'Louisiana Monroe (3 - 6)', 'Old Dominion (3 - 6)', 'Marshall (5 - 4)', 'Appalachian State (5 - 4)'],,,,,,,,
Tulane,8,1,1,31,41,144, ['UMass (1 - 8)', 'Kansas State (6 - 3)', 'Southern Mississippi (5 - 4)', 'Houston (5 - 4)', 'East Carolina (6 - 3)', 'South Florida (1 - 8)', 'Memphis (4 - 5)', 'Tulsa (3 - 6)'],,,,,,,,
Liberty,8,1,1,30,43,79, ['Southern Mississippi (5 - 4)', 'UAB (4 - 5)', 'Wake Forest (6 - 3)', 'Akron (1 - 8)', 'Old Dominion (3 - 6)', 'UMass (1 - 8)', 'BYU (5 - 5)', 'Arkansas (5 - 4)'],,,,,,,,
Alabama,7,2,0,45,36,211, ['Utah State (4 - 5)', 'Texas (6 - 3)', 'Louisiana Monroe (3 - 6)', 'Vanderbilt (3 - 6)', 'Arkansas (5 - 4)', 'Texas A&M (3 - 6)', 'Tennessee (8 - 1)', 'Mississippi State (6 - 3)', 'LSU (7 - 2)'],,,,,,,
Penn State,7,2,0,45,36,120, ['Purdue (5 - 4)', 'Ohio (6 - 3)', 'Auburn (3 - 6)', 'Central Michigan (3 - 6)', 'Northwestern (1 - 8)', 'Michigan (9 - 0)', 'Minnesota (6 - 3)', 'Ohio State (9 - 0)', 'Indiana (3 - 6)'],,,,,,,
LSU,7,2,1,45,27,113, ['Florida State (6 - 3)', 'Mississippi State (6 - 3)', 'New Mexico (2 - 7)', 'Auburn (3 - 6)', 'Tennessee (8 - 1)', 'Florida (5 - 4)', 'Ole Miss (8 - 1)', 'Alabama (7 - 2)'],,,,,,,,
Utah,7,2,1,43,29,158, ['Florida (5 - 4)', 'San Diego State (5 - 4)', 'Arizona State (3 - 6)', 'Oregon State (6 - 3)', 'UCLA (8 - 1)', 'USC (8 - 1)', 'Washington State (5 - 4)', 'Arizona (3 - 6)'],,,,,,,,
NC State,7,2,1,43,30,84, ['East Carolina (6 - 3)', 'Texas Tech (4 - 5)', 'Connecticut (5 - 5)', 'Clemson (8 - 1)', 'Florida State (6 - 3)', 'Syracuse (6 - 3)', 'Virginia Tech (2 - 7)', 'Wake Forest (6 - 3)'],,,,,,,,
