name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,,
Ohio State,10,0,0,49,51,312, ['Notre Dame (7 - 3)', 'Arkansas State (3 - 7)', 'Toledo (7 - 3)', 'Wisconsin (5 - 5)', 'Rutgers (4 - 6)', 'Michigan State (5 - 5)', 'Iowa (6 - 4)', 'Penn State (8 - 2)', 'Northwestern (1 - 9)', 'Indiana (3 - 7)'],,,,,,,
Michigan,10,0,0,45,57,302, ['Colorado State (2 - 8)',Hawai'i (2 - 9), 'Connecticut (6 - 5)', 'Maryland (6 - 4)', 'Iowa (6 - 4)', 'Indiana (3 - 7)', 'Penn State (8 - 2)', 'Michigan State (5 - 5)', 'Rutgers (4 - 6)', 'Nebraska (3 - 7)'],,,,,,,
Georgia,10,0,1,51,39,290, ['Oregon (8 - 2)', 'South Carolina (6 - 4)', 'Kent State (4 - 6)', 'Missouri (4 - 6)', 'Auburn (4 - 6)', 'Vanderbilt (4 - 6)', 'Florida (6 - 4)', 'Tennessee (9 - 1)', 'Mississippi State (6 - 4)'],,,,,,,,
TCU,10,0,1,47,43,153, ['Colorado (1 - 9)', 'SMU (6 - 4)', 'Oklahoma (5 - 5)', 'Kansas (6 - 4)', 'Oklahoma State (7 - 3)', 'Kansas State (7 - 3)', 'West Virginia (4 - 6)', 'Texas Tech (5 - 5)', 'Texas (6 - 4)'],,,,,,,,
USC,9,1,0,46,54,180, ['Rice (5 - 5)', 'Stanford (3 - 7)', 'Fresno State (6 - 4)', 'Oregon State (7 - 3)', 'Arizona State (3 - 7)', 'Washington State (6 - 4)', 'Utah (8 - 2)', 'Arizona (4 - 6)', 'California (3 - 7)', 'Colorado (1 - 9)'],,,,,,,
Tennessee,9,1,1,54,36,255, ['Ball State (5 - 5)', 'Pittsburgh (6 - 4)', 'Akron (1 - 9)', 'Florida (6 - 4)', 'LSU (8 - 2)', 'Alabama (8 - 2)', 'Kentucky (6 - 4)', 'Georgia (10 - 0)', 'Missouri (4 - 6)'],,,,,,,,
Clemson,9,1,1,49,41,132, ['Georgia Tech (4 - 6)', 'Louisiana Tech (3 - 7)', 'Wake Forest (6 - 4)', 'NC State (7 - 3)', 'Boston College (3 - 7)', 'Florida State (7 - 3)', 'Syracuse (6 - 4)', 'Notre Dame (7 - 3)', 'Louisville (6 - 4)'],,,,,,,,
North Carolina,9,1,1,45,44,88, ['Appalachian State (5 - 4)', 'Georgia State (4 - 6)', 'Notre Dame (7 - 3)', 'Virginia Tech (2 - 8)', 'Miami (5 - 5)', 'Duke (7 - 3)', 'Pittsburgh (6 - 4)', 'Virginia (3 - 7)', 'Wake Forest (6 - 4)'],,,,,,,,
Coastal Carolina,9,1,1,39,48,47, ['Army (3 - 6)', 'Buffalo (5 - 5)', 'Georgia State (4 - 6)', 'Georgia Southern (5 - 5)', 'Louisiana Monroe (4 - 6)', 'Old Dominion (3 - 7)', 'Marshall (5 - 4)', 'Appalachian State (5 - 4)', 'Southern Mississippi (5 - 5)'],,,,,,,,
Alabama,8,2,0,58,42,217, ['Utah State (5 - 5)', 'Texas (6 - 4)', 'Louisiana Monroe (4 - 6)', 'Vanderbilt (4 - 6)', 'Arkansas (5 - 5)', 'Texas A&M (3 - 7)', 'Tennessee (9 - 1)', 'Mississippi State (6 - 4)', 'LSU (8 - 2)', 'Ole Miss (8 - 2)'],,,,,,,
Penn State,8,2,0,58,42,150, ['Purdue (6 - 4)', 'Ohio (7 - 3)', 'Auburn (4 - 6)', 'Central Michigan (4 - 6)', 'Northwestern (1 - 9)', 'Michigan (10 - 0)', 'Minnesota (7 - 3)', 'Ohio State (10 - 0)', 'Indiana (3 - 7)', 'Maryland (6 - 4)'],,,,,,,
LSU,8,2,1,55,35,116, ['Florida State (7 - 3)', 'Mississippi State (6 - 4)', 'New Mexico (2 - 8)', 'Auburn (4 - 6)', 'Tennessee (9 - 1)', 'Florida (6 - 4)', 'Ole Miss (8 - 2)', 'Alabama (8 - 2)', 'Arkansas (5 - 5)'],,,,,,,,
Utah,8,2,1,52,38,193, ['Florida (6 - 4)', 'San Diego State (6 - 4)', 'Arizona State (3 - 7)', 'Oregon State (7 - 3)', 'UCLA (8 - 2)', 'USC (9 - 1)', 'Washington State (6 - 4)', 'Arizona (4 - 6)', 'Stanford (3 - 7)'],,,,,,,,
UCF,8,2,1,50,39,159, ['Louisville (6 - 4)', 'Florida Atlantic (4 - 5)', 'Georgia Tech (4 - 6)', 'SMU (6 - 4)', 'Temple (3 - 7)', 'East Carolina (6 - 4)', 'Cincinnati (8 - 2)', 'Memphis (5 - 5)', 'Tulane (8 - 2)'],,,,,,,,
