name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents
Penn State, 4, 0, 0, 8, 8, 88, ['Purdue (2 - 2)', 'Ohio (2 - 2)', 'Auburn (3 - 1)', 'Central Michigan (1 - 3)']
Alabama, 4, 0, 0, 8, 9, 164, ['Utah State (1 - 3)', 'Texas (2 - 2)', 'Louisiana Monroe (2 - 2)', 'Vanderbilt (3 - 2)']
USC, 4, 0, 0, 7, 7, 96, ['Rice (2 - 2)', 'Stanford (1 - 2)', 'Fresno State (1 - 2)', 'Oregon State (3 - 1)']
Ohio State, 4, 0, 0, 7, 9, 131, ['Notre Dame (2 - 2)', 'Arkansas State (1 - 3)', 'Toledo (2 - 2)', 'Wisconsin (2 - 2)']
Tennessee, 4, 0, 0, 7, 9, 118, ['Ball State (1 - 3)', 'Pittsburgh (3 - 1)', 'Akron (1 - 3)', 'Florida (2 - 2)']
Syracuse, 4, 0, 0, 7, 10, 63, ['Louisville (2 - 2)', 'Connecticut (1 - 4)', 'Purdue (2 - 2)', 'Virginia (2 - 2)']
Michigan, 4, 0, 0, 5, 13, 156, ['Colorado State (0 - 4)', "Hawai'i (1 - 4)", 'Connecticut (1 - 4)', 'Maryland (3 - 1)']
Kansas, 4, 0, 1, 7, 5, 85, ['West Virginia (2 - 2)', 'Houston (2 - 2)', 'Duke (3 - 1)']
Georgia, 4, 0, 1, 6, 6, 137, ['Oregon (3 - 1)', 'South Carolina (2 - 2)', 'Kent State (1 - 3)']
Florida State, 4, 0, 1, 6, 6, 75, ['LSU (3 - 1)', 'Louisville (2 - 2)', 'Boston College (1 - 3)']
NC State, 4, 0, 1, 6, 7, 97, ['East Carolina (2 - 2)', 'Texas Tech (3 - 1)', 'Connecticut (1 - 4)']
Ole Miss, 4, 0, 1, 5, 7, 124, ['Troy (2 - 2)', 'Georgia Tech (1 - 3)', 'Tulsa (2 - 2)']
Clemson, 4, 0, 1, 5, 7, 88, ['Georgia Tech (1 - 3)', 'Louisiana Tech (1 - 3)', 'Wake Forest (3 - 1)']
Kentucky, 4, 0, 1, 5, 7, 73, ['Miami (OH) (2 - 2)', 'Florida (2 - 2)', 'Northern Illinois (1 - 3)']
Washington, 4, 0, 1, 4, 7, 100, ['Kent State (1 - 3)', 'Michigan State (2 - 2)', 'Stanford (1 - 2)']
UCLA, 4, 0, 1, 4, 8, 95, ['Bowling Green (1 - 3)', 'South Alabama (3 - 1)', 'Colorado (0 - 4)']
Minnesota, 4, 0, 1, 3, 10, 159, ['New Mexico State (1 - 4)', 'Colorado (0 - 4)', 'Michigan State (2 - 2)']
Coastal Carolina, 4, 0, 1, 2, 9, 43, ['Army (1 - 2)', 'Buffalo (1 - 3)', 'Georgia State (0 - 4)']
James Madison, 3, 0, 1, 5, 3, 97, ['Middle Tennessee (3 - 1)', 'Appalachian State (2 - 2)']
Oklahoma State, 3, 0, 1, 2, 6, 87, ['Central Michigan (1 - 3)', 'Arizona State (1 - 3)']
TCU, 3, 0, 1, 2, 6, 75, ['Colorado (0 - 4)', 'SMU (2 - 2)']
BYU, 3, 1, 0, 10, 7, 28, ['South Florida (1 - 3)', 'Baylor (3 - 1)', 'Oregon (3 - 1)', 'Wyoming (3 - 2)']
Mississippi State, 3, 1, 0, 9, 7, 64, ['Memphis (3 - 1)', 'Arizona (2 - 2)', 'LSU (3 - 1)', 'Bowling Green (1 - 3)']
Liberty, 3, 1, 0, 8, 7, 17, ['Southern Mississippi (2 - 2)', 'UAB (2 - 1)', 'Wake Forest (3 - 1)', 'Akron (1 - 3)']
Maryland, 3, 1, 0, 8, 9, 56, ['Buffalo (1 - 3)', 'Charlotte (1 - 4)', 'SMU (2 - 2)', 'Michigan (4 - 0)']
