name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,
Ohio State,5,0,0,12,12,170, ['Notre Dame (2 - 2)', 'Arkansas State (2 - 3)', 'Toledo (3 - 2)', 'Wisconsin (2 - 3)', 'Rutgers (3 - 2)'],
Alabama,5,0,0,12,13,187, ['Utah State (1 - 4)', 'Texas (3 - 2)', 'Louisiana Monroe (2 - 3)', 'Vanderbilt (3 - 2)', 'Arkansas (3 - 2)'],
Michigan,5,0,0,10,15,169, ['Colorado State (0 - 4)',Hawai'i (1 - 4), 'Connecticut (2 - 4)', 'Maryland (4 - 1)', 'Iowa (3 - 2)'],
Penn State,5,0,0,10,15,98, ['Purdue (3 - 2)', 'Ohio (2 - 3)', 'Auburn (3 - 2)', 'Central Michigan (1 - 4)', 'Northwestern (1 - 4)'],
USC,5,0,0,9,14,113, ['Rice (3 - 2)', 'Stanford (1 - 3)', 'Fresno State (1 - 3)', 'Oregon State (3 - 2)', 'Arizona State (1 - 4)'],
Clemson,5,0,1,11,8,98, ['Georgia Tech (2 - 3)', 'Louisiana Tech (1 - 3)', 'Wake Forest (4 - 1)', 'NC State (4 - 1)'],,
Georgia,5,0,1,11,9,141, ['Oregon (4 - 1)', 'South Carolina (3 - 2)', 'Kent State (2 - 3)', 'Missouri (2 - 3)'],,
Ole Miss,5,0,1,11,9,127, ['Troy (3 - 2)', 'Georgia Tech (2 - 3)', 'Tulsa (2 - 3)', 'Kentucky (4 - 1)'],,
Kansas,5,0,1,11,9,88, ['West Virginia (2 - 3)', 'Houston (2 - 3)', 'Duke (4 - 1)', 'Iowa State (3 - 2)'],,
UCLA,5,0,1,10,10,103, ['Bowling Green (2 - 3)', 'South Alabama (4 - 1)', 'Colorado (0 - 5)', 'Washington (4 - 1)'],,
Syracuse,5,0,1,9,12,122, ['Louisville (2 - 3)', 'Connecticut (2 - 4)', 'Purdue (3 - 2)', 'Virginia (2 - 3)'],,
Coastal Carolina,5,0,1,7,12,47, ['Army (1 - 3)', 'Buffalo (2 - 3)', 'Georgia State (1 - 4)', 'Georgia Southern (3 - 2)'],,
