name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,
Ohio State,6,0,0,17,18,199, ['Notre Dame (3 - 2)', 'Arkansas State (2 - 4)', 'Toledo (4 - 2)', 'Wisconsin (3 - 3)', 'Rutgers (3 - 3)', 'Michigan State (2 - 4)'],,,
Alabama,6,0,0,17,19,191, ['Utah State (2 - 4)', 'Texas (4 - 2)', 'Louisiana Monroe (2 - 4)', 'Vanderbilt (3 - 3)', 'Arkansas (3 - 3)', 'Texas A&M (3 - 3)'],,,
USC,6,0,0,15,18,129, ['Rice (3 - 2)', 'Stanford (1 - 4)', 'Fresno State (1 - 4)', 'Oregon State (4 - 2)', 'Arizona State (2 - 4)', 'Washington State (4 - 2)'],,,
Michigan,6,0,0,15,21,190, ['Colorado State (1 - 4)',Hawai'i (1 - 5), 'Connecticut (3 - 4)', 'Maryland (4 - 2)', 'Iowa (3 - 3)', 'Indiana (3 - 3)'],,,
Clemson,6,0,1,17,12,126, ['Georgia Tech (3 - 3)', 'Louisiana Tech (2 - 3)', 'Wake Forest (5 - 1)', 'NC State (5 - 1)', 'Boston College (2 - 4)'],,,,
Georgia,6,0,1,16,14,173, ['Oregon (5 - 1)', 'South Carolina (4 - 2)', 'Kent State (2 - 4)', 'Missouri (2 - 4)', 'Auburn (3 - 3)'],,,,
Ole Miss,6,0,1,16,14,151, ['Troy (4 - 2)', 'Georgia Tech (3 - 3)', 'Tulsa (2 - 4)', 'Kentucky (4 - 2)', 'Vanderbilt (3 - 3)'],,,,
UCLA,6,0,1,14,14,113, ['Bowling Green (2 - 4)', 'South Alabama (4 - 1)', 'Colorado (0 - 5)', 'Washington (4 - 2)', 'Utah (4 - 2)'],,,,
Coastal Carolina,6,0,1,11,18,54, ['Army (1 - 4)', 'Buffalo (3 - 3)', 'Georgia State (2 - 4)', 'Georgia Southern (3 - 3)', 'Louisiana Monroe (2 - 4)'],,,,
Tennessee,5,0,0,16,14,145, ['Ball State (3 - 3)', 'Pittsburgh (4 - 2)', 'Akron (1 - 5)', 'Florida (4 - 2)', 'LSU (4 - 2)'],,,,
Penn State,5,0,0,12,18,98, ['Purdue (4 - 2)', 'Ohio (3 - 3)', 'Auburn (3 - 3)', 'Central Michigan (1 - 5)', 'Northwestern (1 - 5)'],,,,
Syracuse,5,0,1,12,13,122, ['Louisville (3 - 3)', 'Connecticut (3 - 4)', 'Purdue (4 - 2)', 'Virginia (2 - 4)'],,,,,
James Madison,5,0,1,11,13,146, ['Middle Tennessee (3 - 3)', 'Appalachian State (3 - 3)', 'Texas State (3 - 3)', 'Arkansas State (2 - 4)'],,,,,
TCU,5,0,1,10,12,113, ['Colorado (0 - 5)', 'SMU (2 - 3)', 'Oklahoma (3 - 3)', 'Kansas (5 - 1)'],,,,,
Oklahoma State,5,0,1,9,14,108, ['Central Michigan (1 - 5)', 'Arizona State (2 - 4)', 'Baylor (3 - 2)', 'Texas Tech (3 - 3)'],,,,,
Mississippi State,5,1,0,19,17,105, ['Memphis (4 - 2)', 'Arizona (3 - 3)', 'LSU (4 - 2)', 'Bowling Green (2 - 4)', 'Texas A&M (3 - 3)', 'Arkansas (3 - 3)'],,,
Liberty,5,1,0,14,19,49, ['Southern Mississippi (2 - 3)', 'UAB (3 - 2)', 'Wake Forest (5 - 1)', 'Akron (1 - 5)', 'Old Dominion (2 - 3)', 'UMass (1 - 5)'],,,
Wake Forest,5,1,1,19,10,94, ['Vanderbilt (3 - 3)', 'Liberty (5 - 1)', 'Clemson (6 - 0)', 'Florida State (4 - 2)', 'Army (1 - 4)'],,,,
NC State,5,1,1,19,12,89, ['East Carolina (3 - 3)', 'Texas Tech (3 - 3)', 'Connecticut (3 - 4)', 'Clemson (6 - 0)', 'Florida State (4 - 2)'],,,,
Oregon,5,1,1,18,11,79, ['Georgia (6 - 0)', 'BYU (4 - 2)', 'Washington State (4 - 2)', 'Stanford (1 - 4)', 'Arizona (3 - 3)'],,,,
Kansas,5,1,1,17,11,81, ['West Virginia (2 - 3)', 'Houston (3 - 3)', 'Duke (4 - 2)', 'Iowa State (3 - 3)', 'TCU (5 - 0)'],,,,
Kansas State,5,1,1,16,14,72, ['Missouri (2 - 4)', 'Tulane (5 - 1)', 'Oklahoma (3 - 3)', 'Texas Tech (3 - 3)', 'Iowa State (3 - 3)'],,,,
Illinois,5,1,1,15,16,108, ['Wyoming (4 - 3)', 'Indiana (3 - 3)', 'Virginia (2 - 4)', 'Wisconsin (3 - 3)', 'Iowa (3 - 3)'],,,,
Tulane,5,1,1,14,15,106, ['UMass (1 - 5)', 'Kansas State (5 - 1)', 'Southern Mississippi (2 - 3)', 'Houston (3 - 3)', 'East Carolina (3 - 3)'],,,,
North Carolina,5,1,1,12,16,62, ['Appalachian State (3 - 3)', 'Georgia State (2 - 4)', 'Notre Dame (3 - 2)', 'Virginia Tech (2 - 4)', 'Miami (2 - 3)'],,,,
Cincinnati,5,1,1,12,18,102, ['Arkansas (3 - 3)', 'Miami (OH) (3 - 3)', 'Indiana (3 - 3)', 'Tulsa (2 - 4)', 'South Florida (1 - 5)'],,,,
San José State,4,1,1,13,12,74, ['Auburn (3 - 3)', 'Western Michigan (2 - 4)', 'Wyoming (4 - 3)', 'UNLV (4 - 2)'],,,,,
