name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents
Ohio State, 8, 0, 0, 34, 32, 256, ['Notre Dame (5 - 3)', 'Arkansas State (2 - 7)', 'Toledo (6 - 3)', 'Wisconsin (4 - 4)', 'Rutgers (4 - 4)', 'Michigan State (3 - 5)', 'Iowa (4 - 4)', 'Penn State (6 - 2)']
Michigan, 8, 0, 0, 30, 36, 236, ['Colorado State (2 - 6)', "Hawai'i (2 - 7)", 'Connecticut (4 - 5)', 'Maryland (6 - 2)', 'Iowa (4 - 4)', 'Indiana (3 - 5)', 'Penn State (6 - 2)', 'Michigan State (3 - 5)']
Tennessee, 8, 0, 1, 31, 26, 227, ['Ball State (4 - 4)', 'Pittsburgh (4 - 4)', 'Akron (1 - 8)', 'Florida (4 - 4)', 'LSU (6 - 2)', 'Alabama (7 - 1)', 'Kentucky (5 - 3)']
Clemson, 8, 0, 1, 30, 26, 138, ['Georgia Tech (3 - 5)', 'Louisiana Tech (2 - 6)', 'Wake Forest (6 - 2)', 'NC State (6 - 2)', 'Boston College (2 - 6)', 'Florida State (5 - 3)', 'Syracuse (6 - 2)']
TCU, 8, 0, 1, 30, 26, 136, ['Colorado (1 - 7)', 'SMU (4 - 4)', 'Oklahoma (5 - 3)', 'Kansas (5 - 3)', 'Oklahoma State (6 - 2)', 'Kansas State (6 - 2)', 'West Virginia (3 - 5)']
Georgia, 8, 0, 1, 29, 27, 250, ['Oregon (7 - 1)', 'South Carolina (5 - 3)', 'Kent State (3 - 5)', 'Missouri (4 - 4)', 'Auburn (3 - 5)', 'Vanderbilt (3 - 5)', 'Florida (4 - 4)']
Ole Miss, 8, 1, 1, 32, 32, 143, ['Troy (6 - 2)', 'Georgia Tech (3 - 5)', 'Tulsa (3 - 5)', 'Kentucky (5 - 3)', 'Vanderbilt (3 - 5)', 'Auburn (3 - 5)', 'LSU (6 - 2)', 'Texas A&M (3 - 5)']
Alabama, 7, 1, 0, 34, 30, 212, ['Utah State (3 - 5)', 'Texas (5 - 3)', 'Louisiana Monroe (2 - 6)', 'Vanderbilt (3 - 5)', 'Arkansas (5 - 3)', 'Texas A&M (3 - 5)', 'Tennessee (8 - 0)', 'Mississippi State (5 - 3)']
USC, 7, 1, 0, 33, 31, 136, ['Rice (4 - 4)', 'Stanford (3 - 5)', 'Fresno State (4 - 4)', 'Oregon State (6 - 2)', 'Arizona State (3 - 5)', 'Washington State (4 - 4)', 'Utah (6 - 2)', 'Arizona (3 - 5)']
UCLA, 7, 1, 1, 33, 23, 123, ['Bowling Green (4 - 4)', 'South Alabama (6 - 2)', 'Colorado (1 - 7)', 'Washington (6 - 2)', 'Utah (6 - 2)', 'Oregon (7 - 1)', 'Stanford (3 - 5)']
Oregon, 7, 1, 1, 32, 25, 112, ['Georgia (8 - 0)', 'BYU (4 - 5)', 'Washington State (4 - 4)', 'Stanford (3 - 5)', 'Arizona (3 - 5)', 'UCLA (7 - 1)', 'California (3 - 5)']
North Carolina, 7, 1, 1, 28, 28, 83, ['Appalachian State (5 - 3)', 'Georgia State (3 - 5)', 'Notre Dame (5 - 3)', 'Virginia Tech (2 - 6)', 'Miami (4 - 4)', 'Duke (5 - 3)', 'Pittsburgh (4 - 4)']
